tranid,stock,symbol,exchange,currency,price,approved
155,"Sage Therapeutics, Inc.",SAGE,NASDAQ,CNY,87,FALSE
156,Nordic American Tankers Limited,NAT,NYSE,IDR,36,FALSE
157,MFS Multimarket Income Trust,MMT,NYSE,AMD,86,FALSE
158,Saratoga Investment Corp,SAB,NYSE,EUR,78,FALSE
159,"Frequency Electronics, Inc.",FEIM,NASDAQ,IDR,40,FALSE
160,Xplore Technologies Corp,XPLR,NASDAQ,IDR,100,FALSE
161,Kimco Realty Corporation,KIM^J,NYSE,IDR,75,FALSE
162,Corporate Asset Backed Corp CABCO,GYC,NYSE,CZK,51,FALSE
163,"Allete, Inc.",ALE,NYSE,IDR,87,FALSE
164,Aradigm Corporation,ARDM,NASDAQ,EUR,91,FALSE
165,"Lake Shore Bancorp, Inc.",LSBK,NASDAQ,IDR,44,FALSE
166,"WageWorks, Inc.",WAGE,NYSE,USD,87,FALSE
167,Ingredion Incorporated,INGR,NYSE,BOB,73,FALSE
168,GrubHub Inc.,GRUB,NYSE,CNY,37,FALSE
169,"MercadoLibre, Inc.",MELI,NASDAQ,EUR,81,FALSE
170,Morgan Stanley China A Share Fund Inc.,CAF,NYSE,CNY,60,FALSE
171,Matador Resources Company,MTDR,NYSE,ZMW,3,FALSE
172,"Novavax, Inc.",NVAX,NASDAQ,COP,60,FALSE
173,"Conn&#39;s, Inc.",CONN,NASDAQ,PLN,65,FALSE
174,ENDRA Life Sciences Inc.,NDRAU,NASDAQ,EUR,37,FALSE
175,"Crown Crafts, Inc.",CRWS,NASDAQ,LKR,54,FALSE
176,"Diamond Hill Investment Group, Inc.",DHIL,NASDAQ,PLN,11,FALSE
177,Pacific Drilling S.A.,PACD,NYSE,EUR,94,FALSE
178,"Cal-Maine Foods, Inc.",CALM,NASDAQ,PEN,28,FALSE
179,"Inter Parfums, Inc.",IPAR,NASDAQ,PLN,67,FALSE
180,GP Investments Acquisition Corp.,GPIAW,NASDAQ,EGP,28,FALSE
181,CyberOptics Corporation,CYBE,NASDAQ,CNY,15,FALSE
182,Motif Bio plc,MTFB,NASDAQ,BRL,19,FALSE
183,"Central Europe, Russia and Turkey Fund, Inc. (The)",CEE,NYSE,BOB,40,FALSE
184,WPP plc,WPPGY,NASDAQ,IDR,4,FALSE
185,DSW Inc.,DSW,NYSE,CNY,80,FALSE
186,GGP Inc.,GGP^A,NYSE,RUB,98,FALSE
187,Kennametal Inc.,KMT,NYSE,NGN,26,FALSE
188,"iRhythm Technologies, Inc.",IRTC,NASDAQ,JOD,49,FALSE
189,Precision Drilling Corporation,PDS,NYSE,EUR,61,FALSE
190,Bank of America Corporation,BAC^I,NYSE,JPY,23,FALSE
191,"PNC Financial Services Group, Inc. (The)",PNC^P,NYSE,BRL,90,FALSE
192,VictoryShares International High Div Volatility Wtd ETF,CID,NASDAQ,CNY,73,FALSE
193,Prospect Capital Corporation,PSEC,NASDAQ,IDR,78,FALSE
194,"NCI, Inc.",NCIT,NASDAQ,CNY,62,FALSE
195,"Intevac, Inc.",IVAC,NASDAQ,EUR,75,FALSE
196,U.S. Bancorp,USB,NYSE,CNY,5,FALSE
197,Dynasil Corporation of America,DYSL,NASDAQ,PLN,78,FALSE
198,"Inovio Pharmaceuticals, Inc.",INO,NASDAQ,PLN,88,FALSE
199,"Senomyx, Inc.",SNMX,NASDAQ,RUB,15,FALSE
200,Fifth Street Finance Corp.,FSCFL,NASDAQ,CNY,21,FALSE
201,Student Transportation Inc,STB,NASDAQ,PHP,79,FALSE
202,Nuveen California AMT-Free Quality Municipal Income Fund,NKX,NYSE,RUB,95,FALSE
203,TransCanada Corporation,TRP,NYSE,CNY,82,FALSE
204,Martin Midstream Partners L.P.,MMLP,NASDAQ,BRL,46,FALSE
205,trivago N.V.,TRVG,NASDAQ,BRL,87,FALSE
206,Clifton Bancorp Inc.,CSBK,NASDAQ,BRL,4,FALSE
207,First Trust Nasdaq Bank ETF,FTXO,NASDAQ,AUD,62,FALSE
208,"Empire State Realty Trust, Inc.",ESRT,NYSE,IDR,3,FALSE
209,Icahn Enterprises L.P.,IEP,NASDAQ,PHP,65,FALSE
210,TPG Pace Energy Holdings Corp.,TPGE.U,NYSE,IDR,8,FALSE
211,Umpqua Holdings Corporation,UMPQ,NASDAQ,BRL,87,FALSE
212,"AmTrust Financial Services, Inc.",AFSI^C,NYSE,PHP,83,FALSE
213,"Redwood Trust, Inc.",RWT,NYSE,MAD,44,FALSE
214,Affimed N.V.,AFMD,NASDAQ,CNY,29,FALSE
215,Heico Corporation,HEI.A,NYSE,IDR,72,FALSE
216,Auris Medical Holding AG,EARS,NASDAQ,CZK,57,FALSE
217,"National Western Life Group, Inc.",NWLI,NASDAQ,CNY,98,FALSE
218,Highway Holdings Limited,HIHO,NASDAQ,PLN,10,FALSE
219,Kimco Realty Corporation,KIM,NYSE,SEK,84,FALSE
220,The RMR Group Inc.,RMR,NASDAQ,MGA,19,FALSE
221,"New York Mortgage Trust, Inc.",NYMTP,NASDAQ,ARS,37,FALSE
222,Blackstone GSO Senior Floating Rate Term Fund,BSL,NYSE,CNY,9,FALSE
223,"MRV Communications, Inc.",MRVC,NASDAQ,USD,97,FALSE
224,Infosys Limited,INFY,NYSE,CNY,43,FALSE
225,Till Capital Ltd.,TIL,NASDAQ,IDR,7,FALSE
226,Hornbeck Offshore Services,HOS,NYSE,CNY,73,FALSE
227,Eaton Vance Corporation,ETW,NYSE,BDT,9,FALSE
228,EXFO Inc,EXFO,NASDAQ,COP,26,FALSE
229,DAVIDsTEA Inc.,DTEA,NASDAQ,CNY,15,FALSE
230,Liberty Media Corporation,FWONA,NASDAQ,EUR,83,FALSE
231,"Perficient, Inc.",PRFT,NASDAQ,SEK,63,FALSE
232,"Retrophin, Inc.",RTRX,NASDAQ,CNY,74,FALSE
233,"Ryder System, Inc.",R,NYSE,EUR,56,FALSE
234,Columbus McKinnon Corporation,CMCO,NASDAQ,UAH,62,FALSE
235,"Ocular Therapeutix, Inc.",OCUL,NASDAQ,USD,28,FALSE
236,BLDRS Europe 100 ADR Index Fund,ADRU,NASDAQ,CNY,61,FALSE
237,Dynatronics Corporation,DYNT,NASDAQ,PKR,18,FALSE
238,"TriState Capital Holdings, Inc.",TSC,NASDAQ,BRL,25,FALSE
239,Gogo Inc.,GOGO,NASDAQ,PHP,23,FALSE
240,MediWound Ltd.,MDWD,NASDAQ,CNY,28,FALSE
241,iShares MSCI Europe Small-Cap ETF,IEUS,NASDAQ,PAB,99,FALSE
242,"Acacia Communications, Inc.",ACIA,NASDAQ,RUB,12,FALSE
243,"Netlist, Inc.",NLST,NASDAQ,CNY,37,FALSE
244,"Waterstone Financial, Inc.",WSBF,NASDAQ,EUR,67,FALSE
245,iShares MSCI Qatar Capped ETF,QAT,NASDAQ,THB,92,FALSE
246,"One Liberty Properties, Inc.",OLP,NYSE,CNY,40,FALSE
247,GasLog Partners LP,GLOP^A,NYSE,EUR,33,FALSE
248,"B. Riley Financial, Inc.",RILYL,NASDAQ,UZS,75,FALSE
249,Benitec Biopharma Limited,BNTC,NASDAQ,CNY,60,FALSE
250,Prothena Corporation plc,PRTA,NASDAQ,ILS,2,FALSE
251,S&P Global Inc.,SPGI,NYSE,CNY,85,FALSE
252,"Summit Hotel Properties, Inc.",INN^B,NYSE,PLN,89,FALSE
253,FlexShares STOXX US ESG Impact Index Fund,ESG,NASDAQ,EUR,93,FALSE
254,Accenture plc,ACN,NYSE,IDR,4,FALSE
255,Coca Cola Femsa S.A.B. de C.V.,KOF,NYSE,CAD,37,FALSE
256,BankFinancial Corporation,BFIN,NASDAQ,IDR,99,FALSE
257,GP Strategies Corporation,GPX,NYSE,NOK,85,FALSE
258,"iRhythm Technologies, Inc.",IRTC,NASDAQ,THB,14,FALSE
259,John Hancock Preferred Income Fund III,HPS,NYSE,MYR,78,FALSE
260,Public Storage,PSA^Z,NYSE,USD,38,FALSE
261,Capstead Mortgage Corporation,CMO,NYSE,JPY,76,FALSE
262,"Sky Solar Holdings, Ltd.",SKYS,NASDAQ,CNY,86,FALSE
263,"City Office REIT, Inc.",CIO^A,NYSE,PHP,74,FALSE
264,First Trust Large Cap Growth AlphaDEX Fund,FTC,NASDAQ,USD,18,FALSE
265,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,HYXE,NASDAQ,RSD,29,FALSE
266,Assured Guaranty Ltd.,AGO^F,NYSE,PEN,4,FALSE
267,"Hawaiian Electric Industries, Inc.",HE,NYSE,EUR,87,FALSE
268,Rexnord Corporation,RXN,NYSE,UYU,67,FALSE
269,"Wheeler Real Estate Investment Trust, Inc.",WHLR,NASDAQ,BRL,68,FALSE
270,Meredith Corporation,MDP,NYSE,CZK,8,FALSE
271,Meridian Bioscience Inc.,VIVO,NASDAQ,KES,70,FALSE
272,"Teladoc, Inc.",TDOC,NYSE,CNY,27,FALSE
273,Scotts Miracle-Gro Company (The),SMG,NYSE,BRL,70,FALSE
274,"Reinsurance Group of America, Incorporated",RZB,NYSE,AFN,17,FALSE
275,The Health and Fitness ETF,FITS,NASDAQ,SEK,47,FALSE
276,"AMERISAFE, Inc.",AMSF,NASDAQ,THB,50,FALSE
277,VelocityShares Daily Inverse VIX Medium-Term ETN,ZIV,NASDAQ,RUB,22,FALSE
278,voxeljet AG,VJET,NYSE,KZT,44,FALSE
279,J P Morgan Chase & Co,JPM^D,NYSE,PLN,71,FALSE
280,"Blackrock MuniHoldings Quality Fund II, Inc.",MUE,NYSE,EGP,33,FALSE
281,Baxter International Inc.,BAX,NYSE,IDR,66,FALSE
282,"Colony NorthStar, Inc.",CLNS^I,NYSE,CNY,38,FALSE
283,"Tower International, Inc.",TOWR,NYSE,EUR,53,FALSE
284,Williams Partners LP,WPZ,NYSE,CNY,78,FALSE
285,"SiteOne Landscape Supply, Inc.",SITE,NYSE,PHP,15,FALSE
286,Corning Incorporated,GLW,NYSE,CNY,9,FALSE
287,"Super Micro Computer, Inc.",SMCI,NASDAQ,BRL,28,FALSE
288,"Customers Bancorp, Inc",CUBS,NYSE,USD,34,FALSE
289,"Maiden Holdings, Ltd.",MHLD,NASDAQ,EUR,29,FALSE
290,Autohome Inc.,ATHM,NYSE,LYD,15,FALSE
291,PartnerRe Ltd.,PRE^F,NYSE,SDG,57,FALSE
292,Sensient Technologies Corporation,SXT,NYSE,CNY,1,FALSE
293,Wins Finance Holdings Inc.,WINS,NASDAQ,JPY,88,FALSE
294,New Age Beverages Corporation,NBEV,NASDAQ,RUB,28,FALSE
295,"Gores Holdings II, Inc.",GSHTU,NASDAQ,USD,88,FALSE
296,"Kelly Services, Inc.",KELYB,NASDAQ,HRK,67,FALSE
297,"Omnicell, Inc.",OMCL,NASDAQ,CNY,11,FALSE
298,McDonald&#39;s Corporation,MCD,NYSE,CNY,91,FALSE
299,"Ashford Hospitality Prime, Inc.",AHP,NYSE,HRK,40,FALSE
300,"Alliance Resource Partners, L.P.",ARLP,NASDAQ,RUB,11,FALSE
301,Snap Inc.,SNAP,NYSE,IDR,84,FALSE
302,"Strata Skin Sciences, Inc.",SSKN,NASDAQ,CNY,22,FALSE
303,Invesco Trust  for Investment Grade New York Municipal,VTN,NYSE,IDR,60,FALSE
304,Elbit Imaging Ltd.,EMITF,NASDAQ,CAD,8,FALSE
305,"Community Trust Bancorp, Inc.",CTBI,NASDAQ,IDR,21,FALSE
306,Leading Brands Inc,LBIX,NASDAQ,CNY,7,FALSE
307,"Chembio Diagnostics, Inc.",CEMI,NASDAQ,EUR,81,FALSE
308,VictoryShares Dividend Accelerator ETF,VSDA,NASDAQ,IDR,63,FALSE
309,General Electric Capital Corporation,GEH,NYSE,KES,39,FALSE
310,EVINE Live Inc.,EVLV,NASDAQ,CNY,71,FALSE
311,"Ryder System, Inc.",R,NYSE,CNY,64,FALSE
312,FinTech Acquisition Corp. II,FNTE,NASDAQ,ARS,29,FALSE
313,Liberty Global plc,LBTYB,NASDAQ,MDL,47,FALSE
314,Highpower International Inc,HPJ,NASDAQ,RUB,78,FALSE
315,"EQT Midstream Partners, LP",EQM,NYSE,CNY,93,FALSE
316,Reading International Inc,RDIB,NASDAQ,PHP,96,FALSE
317,Cyanotech Corporation,CYAN,NASDAQ,VND,81,FALSE
318,"National Grid Transco, PLC",NGG,NYSE,USD,27,FALSE
319,"Saia, Inc.",SAIA,NASDAQ,SEK,55,FALSE
320,"ANI Pharmaceuticals, Inc.",ANIP,NASDAQ,CNY,48,FALSE
321,Capital One Financial Corporation,COF^P,NYSE,PHP,87,FALSE
322,NewLink Genetics Corporation,NLNK,NASDAQ,RUB,61,FALSE
323,"Alder BioPharmaceuticals, Inc.",ALDR,NASDAQ,CLP,47,FALSE
324,Sears Holdings Corporation,SHLD,NASDAQ,COP,73,FALSE
325,"Greenlight Reinsurance, Ltd.",GLRE,NASDAQ,PHP,65,FALSE
326,"SharpSpring, Inc.",SHSP,NASDAQ,NGN,53,FALSE
327,"Darden Restaurants, Inc.",DRI,NYSE,PHP,33,FALSE
328,Horizon Bancorp (IN),HBNC,NASDAQ,IDR,55,FALSE
329,Alpha and Omega Semiconductor Limited,AOSL,NASDAQ,EUR,10,FALSE
330,"CalAtlantic Group, Inc.",CAA,NYSE,ILS,57,FALSE
331,CymaBay Therapeutics Inc.,CBAY,NASDAQ,IDR,29,FALSE
332,THL Credit Senior Loan Fund,TSLF,NYSE,CNY,14,FALSE
333,"Brookline Bancorp, Inc.",BRKL,NASDAQ,CNY,85,FALSE
334,"On Assignment, Inc.",ASGN,NYSE,EUR,100,FALSE
335,Jensyn Acquistion Corp.,JSYN,NASDAQ,IDR,71,FALSE
336,Perry Ellis International Inc.,PERY,NASDAQ,RUB,62,FALSE
337,"Ekso Bionics Holdings, Inc.",EKSO,NASDAQ,DOP,23,FALSE
338,Five Star Senior Living Inc.,FVE,NASDAQ,PLN,43,FALSE
339,John Bean Technologies Corporation,JBT,NYSE,MKD,85,FALSE
340,"Aethlon Medical, Inc.",AEMD,NASDAQ,EUR,3,FALSE
341,"Zendesk, Inc.",ZEN,NYSE,AZN,46,FALSE
342,INTL FCStone Inc.,INTL,NASDAQ,UAH,25,FALSE
343,Preferred Bank,PFBC,NASDAQ,EUR,84,FALSE
344,Aetna Inc.,AET,NYSE,XAF,31,FALSE
345,ProPetro Holding Corp.,PUMP,NYSE,ZAR,46,FALSE
346,"Fogo de Chao, Inc.",FOGO,NASDAQ,EUR,51,FALSE
347,DarioHealth Corp.,DRIOW,NASDAQ,IDR,3,FALSE
348,"Sophiris Bio, Inc.",SPHS,NASDAQ,PHP,69,FALSE
349,Curtiss-Wright Corporation,CW,NYSE,GBP,96,FALSE
350,Physicians Realty Trust,DOC,NYSE,KGS,67,FALSE
351,Alpine Global Dynamic Dividend Fund,AGD,NYSE,PHP,59,FALSE
352,CHS Inc,CHSCO,NASDAQ,BRL,5,FALSE
353,"Automatic Data Processing, Inc.",ADP,NASDAQ,CUP,9,FALSE
354,UBS AG,UBS,NYSE,PLN,69,FALSE
355,"Exponent, Inc.",EXPO,NASDAQ,PEN,38,FALSE
356,"Internet Initiative Japan, Inc.",IIJI,NASDAQ,CNY,78,FALSE
357,Canadian Imperial Bank of Commerce,CM,NYSE,USD,11,FALSE
358,Crescent Point Energy Corporation,CPG,NYSE,USD,51,FALSE
359,Davis Select Financial ETF,DFNL,NASDAQ,EUR,35,FALSE
360,Pampa Energia S.A.,PAM,NYSE,IDR,18,FALSE
361,"Penumbra, Inc.",PEN,NYSE,CNY,7,FALSE
362,Invesco High Income 2023 Target Term Fund,IHIT,NYSE,PLN,52,FALSE
363,Wells Fargo & Company,WFC^W,NYSE,XOF,84,FALSE
364,Signature Bank,SBNYW,NASDAQ,PHP,67,FALSE
365,Realty Income Corporation,O,NYSE,CNY,77,FALSE
366,"Vishay Precision Group, Inc.",VPG,NYSE,MAD,64,FALSE
367,"Threshold Pharmaceuticals, Inc.",THLD,NASDAQ,USD,82,FALSE
368,"PolarityTE, Inc.",COOL,NASDAQ,IDR,77,FALSE
369,Immune Pharmaceuticals Inc.,IMNP          ,NASDAQ,MKD,52,FALSE
370,Abeona Therapeutics Inc.,ABEOW,NASDAQ,PLN,71,FALSE
